match,artist,external,points,Genre,followingCount,Film,playcount,id,Story,thumbnailUrl,department,displayName,Budget,likedCount,Rotten Tomatoes,visible,enabled,level,name,Profit,followerCount,Worldwide Gross,externalContributor,likeCount
1,josh.gilman,false,1862,Inside Sales - US,99,josh.gilman,1,5629,Inside Sales - US,https://brewspace.jiveland.com/api/core/v3/people/5629/avatar,Inside Sales - US,Josh Gilman,1862,1,0,true,true,Level 2,josh.gilman,1,45,1,false,0
82,jesse.hallett,false,9511,Engineering,149,jesse.hallett,82,2819,Engineering,https://brewspace.jiveland.com/api/core/v3/people/2819/avatar,Engineering,Jesse Hallett,9511,61,21,true,true,Level 4,jesse.hallett,61,121,61,false,21
39,uttam.phalnikar,false,10224,Engineering,87,uttam.phalnikar,39,3158,Engineering,https://brewspace.jiveland.com/api/core/v3/people/3158/avatar,Engineering,Uttam Phalnikar,10224,32,7,true,true,Level 4,uttam.phalnikar,32,70,32,false,7
51,ghislain.seguin,false,5366,Engineering,65,ghislain.seguin,51,3945,Engineering,https://brewspace.jiveland.com/api/core/v3/people/3945/avatar,Engineering,Ghislain Seguin,5366,15,36,true,true,Level 4,ghislain.seguin,15,76,15,false,36
190,seth.purkerson,false,5236,Support,89,seth.purkerson,190,5710,Support,https://brewspace.jiveland.com/api/core/v3/people/5710/avatar,Support,Seth Purkerson,5236,89,101,true,true,Level 4,seth.purkerson,89,55,89,false,101
128,heidi.staats,false,12668,Sales Engineers,155,heidi.staats,128,2900,Sales Engineers,https://brewspace.jiveland.com/api/core/v3/people/2900/avatar,Sales Engineers,Heidi Staats,12668,47,81,true,true,Level 5,heidi.staats,47,146,47,false,81
68,juliana.tipton,false,13136,Finance,73,juliana.tipton,68,5427,Finance,https://brewspace.jiveland.com/api/core/v3/people/5427/avatar,Finance,Juliana Tipton,13136,44,24,true,true,Level 5,juliana.tipton,44,58,44,false,24
67,aron.racho,false,12395,Engineering,88,aron.racho,67,2167,Engineering,https://brewspace.jiveland.com/api/core/v3/people/2167/avatar,Engineering,Aron Racho,12395,30,37,true,true,Level 5,aron.racho,30,93,30,false,37
269,elizabeth.heinlein,false,17786,Professional Services,92,elizabeth.heinlein,269,3541,Professional Services,https://brewspace.jiveland.com/api/core/v3/people/3541/avatar,Professional Services,Elizabeth Heinlein,17786,147,122,true,true,Level 5,elizabeth.heinlein,147,123,147,false,122
28,chris.williamson,false,3882,Field Sales - US East,49,chris.williamson,28,3506,Field Sales - US East,https://brewspace.jiveland.com/api/core/v3/people/3506/avatar,Field Sales - US East,Chris Williamson,3882,25,3,true,true,Level 3,chris.williamson,25,79,25,false,3
